Date,Energy.Price
01/01/2015,65.41
02/01/2015,64.02
03/01/2015,66.82
04/01/2015,55.22
05/01/2015,70.77
06/01/2015,71.48
07/01/2015,67.24
08/01/2015,73.73
09/01/2015,67.7
10/01/2015,61.8
11/01/2015,60.35
12/01/2015,60.81
13/01/2015,55.61
14/01/2015,60.23
15/01/2015,49.14
16/01/2015,45.92
17/01/2015,50.65
18/01/2015,54.28
19/01/2015,54.84
20/01/2015,57.6
21/01/2015,70.53
22/01/2015,50.5
23/01/2015,53.63
24/01/2015,58.78
25/01/2015,56.05
26/01/2015,54.33
27/01/2015,61.14
28/01/2015,51.88
29/01/2015,55.27
30/01/2015,30.58
31/01/2015,30.14
01/02/2015,28.02
02/02/2015,56.65
03/02/2015,40.96
04/02/2015,42.65
05/02/2015,37.71
06/02/2015,51.07
07/02/2015,65.89
08/02/2015,63.8
09/02/2015,47.15
10/02/2015,61.16
11/02/2015,60.2
12/02/2015,73.92
13/02/2015,68.9
14/02/2015,52.87
15/02/2015,41.05
16/02/2015,55.76
17/02/2015,48.72
18/02/2015,38.95
19/02/2015,59.22
20/02/2015,58.73
21/02/2015,60.52
22/02/2015,28.01
23/02/2015,37.23
24/02/2015,25.38
25/02/2015,43.03
26/02/2015,45.32
27/02/2015,53.11
28/02/2015,44.8
01/03/2015,47.6
02/03/2015,34.12
03/03/2015,63.49
04/03/2015,55.15
05/03/2015,27.68
06/03/2015,49.65
07/03/2015,58.1
08/03/2015,60.68
09/03/2015,50.24
10/03/2015,57.44
11/03/2015,57.38
12/03/2015,57.81
13/03/2015,47.99
14/03/2015,53.56
15/03/2015,53.84
16/03/2015,61.23
17/03/2015,57.05
18/03/2015,53.39
19/03/2015,46.48
20/03/2015,45.1
21/03/2015,55
22/03/2015,54.44
23/03/2015,64.08
24/03/2015,44.42
25/03/2015,48.94
26/03/2015,50.67
27/03/2015,49.56
28/03/2015,59.79
29/03/2015,49.53
30/03/2015,46.56
31/03/2015,50.4
01/04/2015,37.28
02/04/2015,43.12
03/04/2015,51.81
04/04/2015,54.48
05/04/2015,44.24
06/04/2015,56.16
07/04/2015,55.23
08/04/2015,52.03
09/04/2015,59.76
10/04/2015,64.91
11/04/2015,62.78
12/04/2015,63.79
13/04/2015,52.23
14/04/2015,52
15/04/2015,52.96
16/04/2015,65.82
17/04/2015,65.28
18/04/2015,66.33
19/04/2015,61.06
20/04/2015,68.55
21/04/2015,55.28
22/04/2015,54.49
23/04/2015,70.17
24/04/2015,70.39
25/04/2015,67.87
26/04/2015,52.84
27/04/2015,50.36
28/04/2015,61.58
29/04/2015,70.98
30/04/2015,67.58
01/05/2015,56.22
02/05/2015,63.84
03/05/2015,49.22
04/05/2015,65.53
05/05/2015,36.46
06/05/2015,67.56
07/05/2015,66.04
08/05/2015,45.02
09/05/2015,66.35
10/05/2015,60.15
11/05/2015,65.34
12/05/2015,61.33
13/05/2015,58.53
14/05/2015,62.5
15/05/2015,41.23
16/05/2015,52.24
17/05/2015,42.56
18/05/2015,62.18
19/05/2015,51.97
20/05/2015,51.82
21/05/2015,52.97
22/05/2015,54.18
23/05/2015,49.16
24/05/2015,42.18
25/05/2015,53.72
26/05/2015,59.16
27/05/2015,56.08
28/05/2015,60.22
29/05/2015,59.88
30/05/2015,62.37
31/05/2015,63.02
01/06/2015,62.78
02/06/2015,61.14
03/06/2015,61.92
04/06/2015,64.74
05/06/2015,62.59
06/06/2015,59.47
07/06/2015,58.73
08/06/2015,64.93
09/06/2015,62.75
10/06/2015,65.66
11/06/2015,69.58
12/06/2015,70.31
13/06/2015,68.69
14/06/2015,66.52
15/06/2015,63.39
16/06/2015,61.31
17/06/2015,56.08
18/06/2015,48.8
19/06/2015,51.24
20/06/2015,55.43
21/06/2015,56.03
22/06/2015,67.21
23/06/2015,70.1
24/06/2015,64.03
25/06/2015,68.45
26/06/2015,70.78
27/06/2015,62.15
