Date,ir,ccpi
01/01/1981,12.56857143,85.4
01/02/1981,13.19444444,85.9
01/03/1981,13.11590909,86.4
01/04/1981,13.67952381,87
01/05/1981,14.0995,87.8
01/06/1981,13.47227273,88.6
01/07/1981,14.28090909,89.8
01/08/1981,14.93714286,90.7
01/09/1981,15.32380952,91.8
01/10/1981,15.14809524,92.1
01/11/1981,13.39277778,92.5
01/12/1981,13.72454545,93
01/01/1982,14.594,93.3
01/02/1982,14.42555556,93.8
01/03/1982,13.86130435,93.9
01/04/1982,13.87190476,94.7
01/05/1982,13.6225,95.4
01/06/1982,14.29954545,96.1
01/07/1982,13.94619048,96.7
01/08/1982,13.055,97.1
01/09/1982,12.33904762,97.2
01/10/1982,10.9065,97.5
01/11/1982,10.55052632,97.3
01/12/1982,10.54,97.2
01/01/1983,10.45714286,97.6
01/02/1983,10.72473684,98
01/03/1983,10.50652174,98.2
01/04/1983,10.4,98.6
01/05/1983,10.38,98.9
01/06/1983,10.84863636,99.2
01/07/1983,11.377,99.8
01/08/1983,11.84608696,100.1
01/09/1983,11.65380952,100.5
01/10/1983,11.541,101
01/11/1983,11.69,101.5
01/12/1983,11.82952381,101.8
01/01/1984,11.67428571,102.5
01/02/1984,11.84210526,102.8
01/03/1984,12.31909091,103.2
01/04/1984,12.6335,103.7
01/05/1984,13.40863636,104.1
01/06/1984,13.56285714,104.5
01/07/1984,13.36238095,105
01/08/1984,12.71608696,105.4
01/09/1984,12.52263158,105.8
01/10/1984,12.16045455,106.2
01/11/1984,11.57263158,106.4
01/12/1984,11.4995,106.8
01/01/1985,11.38428571,107.1
01/02/1985,11.50888889,107.7
01/03/1985,11.8552381,108.1
01/04/1985,11.4347619,108.4
01/05/1985,10.84681818,108.8
01/06/1985,10.156,109.1
01/07/1985,10.30681818,109.4
01/08/1985,10.33181818,109.8
01/09/1985,10.37315789,110
01/10/1985,10.23681818,110.5
01/11/1985,9.781578947,111.1
01/12/1985,9.259047619,111.4
01/01/1986,9.193809524,111.9
01/02/1986,8.704210526,112.2
01/03/1986,7.7785,112.5
01/04/1986,7.299090909,112.9
01/05/1986,7.70952381,113.1
01/06/1986,7.79952381,113.4
01/07/1986,7.303181818,113.8
01/08/1986,7.165714286,114.2
01/09/1986,7.447619048,114.6
01/10/1986,7.426363636,115
01/11/1986,7.250555556,115.3
01/12/1986,7.112727273,115.6
01/01/1987,7.0845,115.9
01/02/1987,7.250526316,116.2
01/03/1987,7.248636364,116.6
01/04/1987,8.022857143,117.3
01/05/1987,8.613,117.7
01/06/1987,8.402272727,117.9
01/07/1987,8.446818182,118.3
01/08/1987,8.76047619,118.7
01/09/1987,9.421904762,119.2
01/10/1987,9.52,119.8
01/11/1987,8.860526316,120.1
01/12/1987,8.987727273,120.4
01/01/1988,8.665789474,120.9
01/02/1988,8.212,121.2
01/03/1988,8.373478261,121.7
01/04/1988,8.7185,122.3
01/05/1988,9.089047619,122.7
01/06/1988,8.921363636,123.2
01/07/1988,9.056,123.6
01/08/1988,9.260434783,124
01/09/1988,8.977142857,124.7
01/10/1988,8.7955,125.2
01/11/1988,8.9625,125.6
01/12/1988,9.105714286,126
01/01/1989,9.0915,126.5
01/02/1989,9.168947368,126.9
01/03/1989,9.357727273,127.4
01/04/1989,9.1755,127.8
01/05/1989,8.859090909,128.3
01/06/1989,8.277272727,128.8
01/07/1989,8.0185,129.2
01/08/1989,8.112608696,129.5
01/09/1989,8.1905,129.9
01/10/1989,8.007619048,130.6
01/11/1989,7.874285714,131.1
01/12/1989,7.836,131.6
01/01/1990,8.206666667,132.1
01/02/1990,8.473157895,132.7
01/03/1990,8.588636364,133.5
01/04/1990,8.7855,134
01/05/1990,8.758181818,134.4
01/06/1990,8.48,135.1
01/07/1990,8.471428571,135.8
01/08/1990,8.752608696,136.6
01/09/1990,8.893157895,137.1
01/10/1990,8.719545455,137.6
01/11/1990,8.392,138
01/12/1990,8.075,138.6
01/01/1991,8.091904762,139.5
01/02/1991,7.854736842,140.2
01/03/1991,8.11,140.5
01/04/1991,8.039090909,140.9
01/05/1991,8.067727273,141.3
01/06/1991,8.284,141.8
01/07/1991,8.272727273,142.3
01/08/1991,7.9,142.9
01/09/1991,7.65,143.4
01/10/1991,7.527272727,143.7
01/11/1991,7.417368421,144.2
01/12/1991,7.088571429,144.7
01/01/1992,7.032380952,145.1
01/02/1992,7.337894737,145.4
01/03/1992,7.542272727,145.9
01/04/1992,7.48047619,146.3
01/05/1992,7.392,146.8
01/06/1992,7.261818182,147.1
01/07/1992,6.844545455,147.6
01/08/1992,6.585714286,147.9
01/09/1992,6.415238095,148.1
01/10/1992,6.589047619,148.8
01/11/1992,6.873157895,149.2
01/12/1992,6.77,149.6
01/01/1993,6.6,150.1
01/02/1993,6.258947368,150.6
01/03/1993,5.975217391,150.8
01/04/1993,5.96952381,151.4
01/05/1993,6.0355,151.8
01/06/1993,5.962727273,152.1
01/07/1993,5.805238095,152.3
01/08/1993,5.677727273,152.8
01/09/1993,5.36,152.9
01/10/1993,5.334,153.4
01/11/1993,5.724,153.9
